Date,Value,Return(%)
2025-01-02,1000000.0,0.0
2025-01-03,1000000.0,0.0
2025-01-06,1000000.0,0.0
2025-01-07,1000000.0,0.0
2025-01-08,1000000.0,0.0
2025-01-09,1000000.0,0.0
2025-01-10,1000000.0,0.0
2025-01-13,1000000.0,0.0
2025-01-14,1000000.0,0.0
2025-01-15,1000000.0,0.0
2025-01-16,1000000.0,0.0
2025-01-17,1000000.0,0.0
2025-01-20,1000000.0,0.0
2025-01-21,1000000.0,0.0
2025-01-22,1000000.0,0.0
2025-02-03,1000000.0,0.0
2025-02-04,1000000.0,0.0
2025-02-05,1000000.0,0.0
2025-02-06,1000000.0,0.0
2025-02-07,1000000.0,0.0
2025-02-10,1000000.0,0.0
2025-02-11,1000000.0,0.0
2025-02-12,1000000.0,0.0
2025-02-13,999857.8541125,-0.014214588750005586
2025-02-14,1000268.3541125,0.026835411249992447
2025-02-17,1001499.8541125,0.14998541124999765
2025-02-18,1001910.3541125,0.19103541125000678
2025-02-19,1006015.3541125,0.6015354112499871
2025-02-20,1006015.3541125,0.6015354112499871
2025-02-21,1009977.1701125,0.9977170112499989
2025-02-24,1012525.1701125,1.2525170112499984
2025-02-25,1013189.1701125,1.3189170112499982
2025-02-26,1014506.0657375,1.4506065737500018
2025-02-27,1008798.2220874999,0.8798222087500029
2025-03-03,1005441.3160875,0.5441316087499981
2025-03-04,1005471.3321125,0.5471332112499949
2025-03-05,1001465.4005125,0.14654005124998815
2025-03-06,992292.3568625001,-0.7707643137499942
2025-03-07,978037.3568625001,-2.196264313749996
2025-03-10,975547.6544875,-2.4452345512500084
2025-03-11,952108.1371500001,-4.789186284999991
2025-03-12,959576.6260525,-4.042337394750007
2025-03-13,958812.4260525,-4.118757394749995
2025-03-14,952333.5799775,-4.7666420022499985
2025-03-17,959695.6799775,-4.030432002249995
2025-03-18,972964.2799775,-2.7035720022499987
2025-03-19,958514.2299775,-4.148577002249998
2025-03-20,969576.0799775,-3.042392002249994
2025-03-21,966584.8799775,-3.3415120022500022
2025-03-24,952924.1799775001,-4.707582002249988
2025-03-25,958891.7299775,-4.110827002249994
2025-03-26,962877.9799775,-3.712202002249998
2025-03-27,944361.9299775,-5.563807002249998
2025-03-28,914279.9698300001,-8.572003016999997
2025-03-31,879848.2724125,-12.015172758750003
2025-04-01,883418.8087287501,-11.658119127124989
2025-04-02,883275.70872875,-11.672429127124994
2025-04-07,795016.52011375,-20.498347988625
2025-04-08,794452.3622575001,-20.554763774249995
2025-04-09,780612.4231337501,-21.93875768662499
2025-04-10,789697.0317812501,-21.030296821874984
2025-04-11,800327.03178125,-19.967296821875003
2025-04-14,806711.03178125,-19.328896821875
2025-04-15,814962.78178125,-18.503721821874997
2025-04-16,807976.5817812501,-19.20234182187499
2025-04-17,802404.78178125,-19.75952182187499
2025-04-18,801875.18178125,-19.812481821874993
2025-04-21,789876.4817812501,-21.012351821874987
2025-04-22,788837.2817812501,-21.11627182187499
2025-04-23,807054.1817812502,-19.294581821874978
2025-04-24,801806.4817812501,-19.819351821874985
2025-04-25,806112.3317812501,-19.38876682187499
2025-04-28,809008.68178125,-19.09913182187499
2025-04-29,822054.5817812502,-17.794541821874976
2025-04-30,824997.03178125,-17.500296821874993
2025-05-02,841970.1817812502,-15.802981821874983
2025-05-05,841407.2317812501,-15.85927682187499
2025-05-06,852938.0317812501,-14.706196821874984
2025-05-07,848102.1533762502,-15.189784662374983
2025-05-08,843568.88789125,-15.643111210875006
2025-05-09,846601.48789125,-15.339851210875
2025-05-12,851554.88789125,-14.844511210875
2025-05-13,855215.53789125,-14.478446210875006
2025-05-14,859809.68789125,-14.019031210875
2025-05-15,858034.88789125,-14.196511210875007
2025-05-16,860217.78789125,-13.978221210874997
2025-05-19,853576.35294,-14.642364705999999
